"pressureKind","label"
"http://qudt.org/vocab/quantitykind/AmbientPressure","Ambient Pressure"
"http://qudt.org/vocab/quantitykind/AtmosphericPressure","Atmospheric Pressure"
"http://qudt.org/vocab/quantitykind/AverageHeadEndPressure","Average Head End Pressure"
"http://qudt.org/vocab/quantitykind/DiastolicBloodPressure","Diastolic Blood Pressure"
"http://qudt.org/vocab/quantitykind/DynamicPressure","Dynamic Pressure"
"http://qudt.org/vocab/quantitykind/Fugacity","Fugacity"
"http://qudt.org/vocab/quantitykind/GaugePressure","Gauge Pressure"
"http://qudt.org/vocab/quantitykind/HeadEndPressure","Head End Pressure"
"http://qudt.org/vocab/quantitykind/MaximumExpectedOperatingPressure","Maximum Expected Operating Pressure"
"http://qudt.org/vocab/quantitykind/MaximumOperatingPressure","Maximum Operating Pressure"
"http://qudt.org/vocab/quantitykind/OsmoticPressure","Osmotic Pressure"
"http://qudt.org/vocab/quantitykind/PartialPressure","Partial Pressure"
"http://qudt.org/vocab/quantitykind/Pressure","Pressure"
"http://qudt.org/vocab/quantitykind/SoundPressure","Sound Pressure"
"http://qudt.org/vocab/quantitykind/StaticPressure","Static Pressure"
"http://qudt.org/vocab/quantitykind/SystolicBloodPressure","Systolic Blood Pressure"
"http://qudt.org/vocab/quantitykind/TotalPressure","Total Pressure"
"http://qudt.org/vocab/quantitykind/VapourPressure","Vapour Pressure"
"http://qudt.org/vocab/quantitykind/WebTimeAveragePressure","Web Time Average Pressure"