"temperatureKind","label"
"http://qudt.org/vocab/quantitykind/BoilingPoint","Boiling Point Temperature"
"http://qudt.org/vocab/quantitykind/CelsiusTemperature","Celsius Temperature"
"http://qudt.org/vocab/quantitykind/ColdReceptorThreshold","Cold Receptor Threshold"
"http://qudt.org/vocab/quantitykind/CorrelatedColorTemperature","Correlated Color Temperature"
"http://qudt.org/vocab/quantitykind/CorrelatedColorTemperature","Correlated Colour Temperature"
"http://qudt.org/vocab/quantitykind/CurieTemperature","Curie Temperature"
"http://qudt.org/vocab/quantitykind/DebyeTemperature","Debye Temperature"
"http://qudt.org/vocab/quantitykind/DewPointTemperature","Dew Point Temperature"
"http://qudt.org/vocab/quantitykind/DryBulbTemperature","Dry Bulb Temperature"
"http://qudt.org/vocab/quantitykind/FahrenheitTemperature","Fahrenheit Temperature"
"http://qudt.org/vocab/quantitykind/FahrenheitTemperature","Fahrenheit Temperature"
"http://qudt.org/vocab/quantitykind/FermiTemperature","Fermi Temperature"
"http://qudt.org/vocab/quantitykind/FlashPoint","Flash Point Temperature"
"http://qudt.org/vocab/quantitykind/MeltingPoint","Melting Point Temperature"
"http://qudt.org/vocab/quantitykind/NeelTemperature","Neel Temperature"
"http://qudt.org/vocab/quantitykind/RankineTemperature","Rankine Temperature"
"http://qudt.org/vocab/quantitykind/RankineTemperature","Rankine Temperature"
"http://qudt.org/vocab/quantitykind/SuperconductionTransitionTemperature","Superconduction Transition Temperature"
"http://qudt.org/vocab/quantitykind/Temperature","Temperature"
"http://qudt.org/vocab/quantitykind/TemperatureDifference","Temperature Difference"
"http://qudt.org/vocab/quantitykind/ThermodynamicTemperature","Thermodynamic Temperature"
"http://qudt.org/vocab/quantitykind/WetBulbTemperature","Wet Bulb Temperature"